﻿﻿*Will be generated when you run phrase_extract.py*
Output Format:

please select,चुनें
please select,चुनें
please select product,प्रोडक्ट चुनें
please select,चुनें
please select product,प्रोडक्ट चुनें
please select product,कृपया प्रोडक्ट चुनें
please select,चुनें
please select product,प्रोडक्ट चुनें
please select product,कृपया प्रोडक्ट चुनें
product,प्रोडक्ट
please select,चुनें
please select product,प्रोडक्ट चुनें
please select product,कृपया प्रोडक्ट चुनें
product,प्रोडक्ट
product,कृपया प्रोडक्ट
please select,चुनें
please select,चुनें
please select city,शहर चुनें
please select,चुनें
please select city,शहर चुनें
please select city,कृपया शहर चुनें
please select,चुनें
please select city,शहर चुनें
please select city,कृपया शहर चुनें
city,शहर
please select,चुनें
please select city,शहर चुनें
please select city,कृपया शहर चुनें
city,शहर
city,कृपया शहर
please select,चुनें
please select,चुनें
please select title,शीर्षक चुनें
please select,चुनें
please select title,शीर्षक चुनें
please select title,कृपया शीर्षक चुनें
please select,चुनें
please select title,शीर्षक चुनें
please select title,कृपया शीर्षक चुनें
title,शीर्षक
please select,चुनें
please select title,शीर्षक चुनें
please select title,कृपया शीर्षक चुनें
title,शीर्षक
title,कृपया शीर्षक
